molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL426086,C#CCCCn1c(Sc2ccc(Cl)cc2)nc2c(N)ncnc21,inactive,343.84300000000013,3.626500000000002,1.0,6.0,4.349692476868063
CHEMBL363860,C#CCCCn1c(Sc2ccc(C(C)=O)cc2)nc2c(N)ncnc21,inactive,351.4350000000001,3.175700000000001,1.0,7.0,3.8239087409443187
CHEMBL364730,C#CCCCn1c(Sc2ccc(-n3cccc3)cc2)nc2c(N)ncnc21,inactive,374.4730000000001,3.7638000000000007,1.0,7.0,3.5072396109731625
CHEMBL371570,C#CCCCn1c(Sc2ccc(OC)cc2OC)nc2c(N)ncnc21,inactive,369.4500000000001,2.9903000000000004,1.0,8.0,3.8239087409443187
CHEMBL424824,C#CCCCn1c(Sc2ccc(C)cc2C)nc2c(N)ncnc21,inactive,337.4520000000001,3.5899400000000012,1.0,6.0,4.406713932979542
CHEMBL365118,C#CCCCn1c(Sc2ccc(Cl)cc2Cl)nc2c(N)ncnc21,inactive,378.2880000000001,4.279900000000002,1.0,6.0,3.449771646944906
CHEMBL364239,C#CCCCn1c(Sc2cc(C)ccc2C)nc2c(N)ncnc21,inactive,337.4520000000001,3.5899400000000012,1.0,6.0,3.832682665251824
CHEMBL364450,C#CCCCn1c(Sc2cc(Cl)ccc2Cl)nc2c(N)ncnc21,inactive,378.2880000000001,4.279900000000002,1.0,6.0,4.576754126063192
CHEMBL191635,C#CCCCn1c(Sc2cc(OC)ccc2I)nc2c(N)ncnc21,active,465.3200000000001,3.5863000000000014,1.0,7.0,6.0915149811213505
CHEMBL364456,C#CCCCn1c(Sc2cc(C(F)(F)F)ccc2Cl)nc2c(N)ncnc21,inactive,411.84000000000015,4.645300000000002,1.0,6.0,4.444905551421681
CHEMBL192013,C#CCCCn1c(Sc2cc(Cl)cc(Cl)c2)nc2c(N)ncnc21,inactive,378.2880000000001,4.279900000000002,1.0,6.0,4.218244625347531
CHEMBL195096,C#CCCCn1c(Sc2cc(C)cc(C)c2)nc2c(N)ncnc21,inactive,337.4520000000001,3.5899400000000012,1.0,6.0,4.0
CHEMBL192480,C#CCCCn1c(Sc2cc(Cl)c(Cl)cc2Cl)nc2c(N)ncnc21,inactive,412.7330000000002,4.933300000000001,1.0,6.0,4.236572006437063
CHEMBL365159,C#CCCCn1c(Sc2cc3c(cc2Br)OCO3)nc2c(N)ncnc21,active,432.3030000000002,3.4643000000000015,1.0,8.0,6.522878745280337
CHEMBL190518,C#CCCCn1c(Sc2cc(OC)c(OC)c(OC)c2)nc2c(N)ncnc21,inactive,399.4760000000001,2.998900000000001,1.0,9.0,4.651695136951839
CHEMBL193056,C#CCCCn1c(Sc2cc(OC)c(OC)c(OC)c2I)nc2c(N)ncnc21,inactive,525.3720000000001,3.603500000000002,1.0,9.0,4.0
CHEMBL195869,CCCCn1c(Sc2cccc(OC)c2)nc2c(N)ncnc21,inactive,329.4290000000001,3.3684000000000003,1.0,7.0,4.270025714300444
CHEMBL191601,COc1cccc(Sc2nc3c(N)ncnc3n2CCOC(C)C)c1,inactive,359.45500000000015,2.9933000000000014,1.0,8.0,4.3223930472795065
CHEMBL191641,CCCCn1c(Sc2cc(OC)c(OC)c(OC)c2)nc2c(N)ncnc21,inactive,389.4810000000001,3.385600000000001,1.0,9.0,4.053056729302175
CHEMBL191668,COc1cc(Sc2nc3c(N)ncnc3n2CCOC(C)C)cc(OC)c1OC,inactive,419.50700000000023,3.0105000000000013,1.0,10.0,4.185086818724926
CHEMBL193259,C#CCCCn1c(Sc2cc(OC)c(OC)c(OC)c2)nc2c(N)nc(F)nc21,inactive,417.4660000000001,3.138000000000001,1.0,9.0,4.679853713888946
CHEMBL439852,COc1cc(Sc2nc3c(N)nc(F)nc3n2CCOC(C)C)cc(OC)c1OC,inactive,437.4970000000003,3.149600000000002,1.0,10.0,4.628932137728263
CHEMBL191268,CCCCn1c(Sc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)ncnc21,inactive,423.92600000000016,4.039000000000002,1.0,9.0,4.642065152999546
CHEMBL191835,C#CCCCn1c(Sc2cc(OC)c(OC)c(OC)c2)nc2c(N)nc(N)nc21,inactive,414.49100000000016,2.5810999999999997,2.0,10.0,3.8239087409443187
CHEMBL191920,CCCCn1c(Sc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)nc(F)nc21,inactive,441.91600000000017,4.178100000000002,1.0,9.0,4.580044251510242
CHEMBL363196,COc1cc(Sc2nc3c(N)ncnc3n2CCOC(C)C)c(Cl)cc1Cl,inactive,428.34500000000014,4.300100000000003,1.0,8.0,4.2343314452409855
CHEMBL370247,COc1c(Cl)c(Sc2nc3c(N)ncnc3n2CCOC(C)C)c(Cl)c(OC)c1OC,inactive,488.3970000000003,4.317300000000003,1.0,10.0,4.860120913598763
CHEMBL415775,Nc1[nH]cnc2nc(Sc3cc(C(F)(F)F)ccc3Cl)nc1-2,inactive,345.73699999999997,3.7101000000000006,2.0,5.0,3.503070351926785
CHEMBL194716,Nc1[nH]cnc2nc(Sc3cc(Cl)c(Cl)cc3Cl)nc1-2,inactive,346.6300000000001,3.998100000000001,2.0,5.0,4.320572103387881
CHEMBL364272,Nc1ncnc2[nH]c(Sc3cc(Cl)ccc3Cl)nc12,inactive,312.18500000000006,3.3931000000000004,2.0,5.0,3.9136401693252516
CHEMBL192937,CCCCn1c(S(=O)(=O)c2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)ncnc21,inactive,455.9240000000002,2.7206,1.0,10.0,4.906578314837765
CHEMBL189537,C#CCCCn1c([S+]([O-])c2cccc(OC)c2)nc2c(N)ncnc21,inactive,355.4230000000001,1.9971999999999999,1.0,7.0,4.497572880015567
CHEMBL193672,COc1cccc([S+]([O-])c2nc3c(N)ncnc3n2CCOC(C)C)c1,inactive,375.4540000000002,2.0088000000000004,1.0,8.0,4.153044674980176
CHEMBL192649,CCCCn1c([S+]([O-])c2cccc(OC)c2)nc2c(N)ncnc21,inactive,345.4280000000001,2.3838999999999997,1.0,7.0,4.242603971206976
CHEMBL192761,CCCCn1c([S+]([O-])c2cc(OC)c(OC)c(OC)c2)nc2c(N)ncnc21,inactive,405.48000000000013,2.4010999999999996,1.0,9.0,3.9574244875598095
CHEMBL370092,COc1cc([S+]([O-])c2nc3c(N)ncnc3n2CCOC(C)C)cc(OC)c1OC,inactive,435.5060000000003,2.026,1.0,10.0,4.357535479757878
CHEMBL427169,C#CCCCn1c(S(=O)(=O)c2cccc(OC)c2)nc2c(N)ncnc21,inactive,371.4220000000001,1.6632999999999998,1.0,8.0,3.804100347590766
CHEMBL362972,COc1cccc(S(=O)(=O)c2nc3c(N)ncnc3n2CCOC(C)C)c1,inactive,391.45300000000015,1.6748999999999998,1.0,9.0,3.769551078621726
CHEMBL372013,CCCCn1c(S(=O)(=O)c2cccc(OC)c2)nc2c(N)ncnc21,inactive,361.4270000000001,2.05,1.0,8.0,3.9030899869919438
CHEMBL190654,CCCCn1c(S(=O)(=O)c2cc(OC)c(OC)c(OC)c2)nc2c(N)ncnc21,inactive,421.47900000000016,2.0671999999999997,1.0,10.0,3.5016894462103996
CHEMBL193310,C#CCCCn1c(S(=O)(=O)c2cc(OC)c(OC)c(OC)c2)nc2c(N)ncnc21,inactive,431.47400000000016,1.6804999999999997,1.0,10.0,3.9788107009300617
CHEMBL193313,COc1cc(S(=O)(=O)c2nc3c(N)ncnc3n2CCOC(C)C)cc(OC)c1OC,inactive,451.5050000000003,1.6920999999999993,1.0,11.0,3.3010299956639813
CHEMBL161992,C#CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2)nc2c(N)ncnc21,inactive,381.4360000000001,2.4385000000000003,1.0,8.0,4.8326826652518236
CHEMBL352683,COc1cc(Cc2nc3c(N)ncnc3n2CCOC(C)C)cc(OC)c1OC,inactive,401.4670000000002,2.450100000000001,1.0,9.0,4.542118103266008
CHEMBL349231,C#CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2)nc2c(N)nc(F)nc21,inactive,399.4260000000001,2.5775999999999994,1.0,8.0,4.978810700930062
CHEMBL193892,C#CCCCn1c(Sc2ccccc2OC)nc2c(N)ncnc21,inactive,339.4240000000001,2.9817,1.0,7.0,3.3979400086720375
CHEMBL371372,C#CCCCn1c(Sc2ccccc2OC(F)(F)F)nc2c(N)ncnc21,inactive,393.3940000000001,3.8717000000000015,1.0,7.0,4.013228265733755
CHEMBL190438,C#CCCCn1c(Sc2ccccc2CO)nc2c(N)ncnc21,inactive,339.4240000000001,2.465399999999999,2.0,7.0,3.3979400086720375
CHEMBL190439,C#CCCCn1c(Sc2ccccc2Cl)nc2c(N)ncnc21,inactive,343.84300000000013,3.626500000000001,1.0,6.0,3.709965388637482
CHEMBL200628,O=S(=O)(Nc1ccc(O)c(-c2c(O)ccc3ccccc23)c1)c1cccs1,active,397.4770000000001,4.780300000000002,3.0,5.0,6.221848749616356
CHEMBL200600,Cc1cc(C)c(S(=O)(=O)Nc2ccc(O)c(-c3c(O)ccc4ccccc34)c2)cc1C,inactive,433.52900000000017,5.644060000000006,3.0,4.0,4.818156412055227
CHEMBL371915,O=S(=O)(Nc1ccc(O)c(-c2c(O)ccc3ccccc23)c1)c1cc(Cl)ccc1Cl,active,460.3380000000002,6.025600000000003,3.0,4.0,6.154901959985743
CHEMBL372769,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(O)c(-c3c(O)ccc4ccccc34)c2)cc1,inactive,447.55600000000015,6.016300000000006,3.0,4.0,4.578396073130169
CHEMBL200437,O=C(Nc1ccc(O)cc1)c1c[nH]nc1-c1cc(Cl)c(O)cc1O,inactive,345.7420000000001,3.0992,5.0,5.0,4.8326826652518236
CHEMBL371249,O=C(Nc1ccccn1)c1cn[nH]c1-c1cc(Cl)c(O)cc1O,inactive,330.73100000000005,2.7886,4.0,5.0,4.301029995663981
CHEMBL200688,O=C(NCc1ccco1)c1cn[nH]c1-c1cc(Cl)c(O)cc1O,inactive,333.73100000000005,2.6643000000000012,4.0,5.0,4.448550002027125
CHEMBL200255,NS(=O)(=O)c1ccc(CNC(=O)c2cn[nH]c2-c2cc(Cl)c(O)cc2O)cc1,active,422.85000000000014,1.7186999999999995,5.0,6.0,6.336299074610352
CHEMBL200360,COc1cccc(CNC(=O)c2c[nH]nc2-c2cc(Cl)c(O)cc2O)c1,inactive,373.79600000000005,3.0799000000000003,4.0,5.0,4.97061622231479
CHEMBL200353,O=C(NCc1ccccc1)c1cn[nH]c1-c1cc(Cl)c(O)cc1O,inactive,343.7700000000001,3.0713000000000013,4.0,4.0,4.892790030352131
CHEMBL200469,CC(=O)c1ccc(NC(=O)c2cn[nH]c2-c2cc(Cl)c(O)cc2O)cc1,active,371.7800000000001,3.5962000000000014,4.0,5.0,6.58838029403677
CHEMBL370769,CC(=O)Nc1ccc(NC(=O)c2c[nH]nc2-c2cc(Cl)c(O)cc2O)cc1,inactive,386.7950000000001,3.3520000000000003,5.0,5.0,4.501689446210399
CHEMBL382270,COc1ccc(N(C)C(=O)c2c[nH]nc2-c2cc(Cl)c(O)cc2O)cc1,inactive,373.79600000000005,3.4265000000000017,3.0,5.0,4.301029995663981
CHEMBL200488,COc1cccc(NC(=O)c2c[nH]nc2-c2cc(Cl)c(O)cc2O)c1,inactive,359.76900000000006,3.4022000000000006,4.0,5.0,4.931814138253838
CHEMBL207397,CS(=O)(=O)c1ccc(CNC2CCN(c3c[nH]nc3-c3cc(Br)c(O)cc3O)CC2)cc1,inactive,521.4370000000002,3.4125000000000014,4.0,7.0,4.856985199745905
